22	hang out/around/round swh or with sb	informal to spend a lot of time in a particular place, or to spend a lot of time with someone
22	latch on to/onto sb	to spend time with someone, especially when they do not want you with them
22	muck about/around	informal to waste time doing silly things
22	pushed for sth	to have very little or not enough of something, especially time or money
22	run out	if a document or official agreement runs out, the period of time it lasts for comes to an end
22	while away sth or while sth away	to spend time in a relaxed way because you are waiting for something or because you have nothing else to do
23	be left over	to exist from an earlier time
23	bygone adj	from the past
23	date back	to have existed since a particular time
23	drag on	if an unpleasant or difficult situation or process drags on, it continues for too long
23	go by	if time goes by, it passes
23	hold up sth/sb or hold sth/sb up	to delay something or someone
23	hold-up n	a delay
23	hurry up sb/sth or hurry sb/sth up	to make someone do something more quickly, or to make something happen sooner
23	keep up	to go at the same speed as someone or something that is moving forward, so that you stay level with them
23	left over	to exist from an earlier time
23	leftover adj	existing from an earlier time
23	lie ahead	if an event or situation that will cause problems lies ahead, it will happen in the future
23	pass by	if time or a period of time [e.g. week] passes by, it goes past
23	run on	to continue for longer than expected
23	take back sb or take sb back	if something takes you back, it makes you remember a period or an event in the past
23	think back	to think about things that happened in the past
24	be cut off	to be a long way from other places and people
24	be tucked away	to be in a quiet or hidden place which not many people see or go to
24	brighten up sth or brighten sth up	to make somewhere more attractive, often by adding colours
24	call back	to go back to a place in order to visit someone or collect something that you were unable to visit or collect earlier
24	cut off	to be a long way from other places and people
24	dotted around	if people or things are dotted around, they are in different parts of an area and are not close together
24	leave behind sth/sb or leave sth/sb behind	to leave a place without taking something or someone with you, either because you have forgotten them or because you cannot take them with you
24	open onto sth	if a room, window, or door opens onto a place, it opens in the direction of that place or has a view of it
24	stay behind	to not leave a place when other people leave it
24	stay in	to remain at home, especially in the evening
24	stay on	to stay in a place longer than you planned or after other people have left it
24	stay out	to not come home at night, or to come home late
24	stretch away	if an area of land stretches away, it continues over a long distance
24	tucked away	to be in a quiet or hidden place which not many people see or go to
25	bring about sth or bring sth about	to make something happen
25	lie behind sth	to be the real reason for something
25	pay back sb or pay sb back	to do something unpleasant to someone because they have done something unpleasant to you
25,36	rule out sth/sb or rule sth/sb out	to decide that something or someone is not suitable for a particular purpose, or to decide that something is impossible
25	set off sth or set sth off	to cause a loud noise or explosion [e.g. bomb, firework, alarm] to begin or happen
25	set sb off (doing sth)	to make someone start to laugh, cry, or talk about something that they often talk about
25	spark off sth or spark sth off	if something sparks off an activity [e.g. fighting, violence] or a state, it causes it to suddenly happen or exist
25	spring from sth	to be caused by something
25	trigger off sth or trigger sth off	to make something suddenly begin, often a difficult or violent situation
26	blow over	if an unpleasant situation [e.g. argument] blows over, it gradually becomes less important and is then forgotten
26	fill up (sth) or fill (sth) up	to become full, or to make something become full
26,28	give up (sth) or give (sth) up	if you give up a habit [e.g. smoking, drinking] or give up something unhealthy [e.g. cigarettes, alcohol], you stop doing it or having it
26	go up	if an amount, rate, or standard goes up, it rises
