unit	collocation
28	get a qualification
51	get started
8	get upset
8	get violent
2	get in someone’s way
13	weather gets worse
51	get off to a good start
5	get on a plane
18	ginger hair
19	give custody to
28	give a grade
41	give a growl
36	give the go-ahead
17	give the impression
41	give a laugh
2, 28	give a lecture
23, 24, 60	give a performance
30	give a presentation
41	give a sigh
49	give someone instructions
2	give someone a lift
59	give someone pleasure
2, 5	give someone a ring
59	give someone a warm welcome
49	give someone your word
28	give a talk
2	give way to
45	give off smell
56	give up hope
1, 47	quick glance
43	glare of the sun
44	gloss finish
44	gloss paint
44	glossy hair
50	go for a run
50	go for a walk
8, 18	go grey
25	go hang-gliding
25	go hill walking
5	go into partnership with
25	go jogging
8	go mad
54	go numb
23	go on the stage
24	go on tour
34	go on trial
8	go red
50	go running
25	go sailing
25	go skateboarding
25	go skiing
44	go smoothly
25	go snowboarding
24	go solo
25	go surfing
25	go to judo
25	go to karate
28	go to a lecture
38	go to war
25	go to yoga
30	go wrong
8	go yellow
45	milk goes sour
40	time goes by
37	price goes down
37	price goes up
9	have a go
25	score a goal
43	tinged with gold
8	turn gold
39	golden opportunity
15	golden sands
25	play golf
17	good sense of humour
30	good team player
16	good value
30	have a good knowledge of
54	have a good memory
20	have a good relationship with someone
9, 40	have a good time
22	gourmet meal
28	be given a grade
28	receive a grade
46	increase gradually
19	grant custody to
52	have a grasp of
41	grating noise
41	grating sound
44	greasy hair
44	greasy hands
42	great deal of time
59	great love
59	great lover
59	great pleasure
21	great sadness
52	great success
40	have a great time
50	make great strides
59	greatest regard
43	green issue
39	green politics
41	give a groan
18	immaculately groomed
44	hard ground
25	home ground
44	soft ground
32	groundbreaking research
8	grow louder
8	grow older
10	grow plants
47	rapid growth
52	guarantee success
1	play the guitar
24	strum a guitar
24	take up the guitar
39	widening gulf
48	kick the habit
18	jet-black hair
18	shoulder-length hair
18	sleek hair
18	thick hair
29	hand gestures
48	raise your hand
57	reject something out of hand
28	hand in essay
30	hand in your notice
29	prepare handouts
4	happily married
21	lasting happiness
21	happy occasion
44	hard bread goes
44	hard pillow
52	hard work
2	learn the hard way
56	think hard
25	train hard
44	voice hardens
34	harsh penalty
34	harsh sentence
47	hasty words
11	wear a hat
24	haunting melody
26	have an attack of
25	have a game
53	have an impact on
54	have the impression
30	have a job as
59	have a liking for
