1, 22	be at loggerheads
42	bring sth home to sb
42	hit the ceiling/roof
42	come down on one side or the other
42	come home to you
42	get your foot in the door
42	feel/be at home
42	sit on the fence
42	fly off the handle
42	get the picture
42	hold the key to sth
42	be as safe as houses
42	keep sb in the picture
42	put sb in the picture
42	hit the roof/ceiling
43	a breath of fresh air
43	be in the air
43	be up in the air
43	clear the air
43	bite the dust
43	be/hit rock bottom
43	be in the dark
43	keep sb in the dark
43	down to earth
43	be in your element
43	be out of your element
43	find out how the land lies
43	go with the flow
43	go against the grain
43	hit/be rock bottom
43	shake like a leaf
43	live on another planet
43	sleep like a log
43	upper-crust
44	be all at sea
44	be in the same boat
44	miss the boat
44	push the boat out
44	rock the boat
44	change tack
44	clear the decks
44	steer clear of
44	sail close to the wind
44	try a different tack
44	be in the doldrums
44	know the ropes
44	learn the ropes
44	a nervous/quivering wreck
44	put/stick your oar in
44	be plain sailing
44	a quivering/nervous wreck
44	show sb the ropes
44	stick/put your oar in
45	back-pedal
45	a back-seat driver
45	put the brakes on
45	give sb a buzz
45	get your lines/wires crossed
45	get into gear
45	go under your own steam
45	let off steam
45	be in the pipeline
45	put/throw a spanner in the works
45	be on the same wavelength
45	state-of-the-art
45	throw/put a spanner in the works
45	tick over
45	get your wires/lines crossed
46	change your tune
46	strike a chord
46	the curtain has fallen (on)
46	music to your ears
46	fine-tune
46	sing your heart out
46	jazz something up
46	sound like a broken record
46	set the stage for
46	the show must go on
46	make a song and dance about
46	make a spectacle of yourself
46	be in the spotlight
47	get/have your fingers burned/burnt
47	change hands
47	cross your fingers
47	keep your fingers crossed
47	not lift a finger
47	put your finger on sth
47	at your fingertips
47	first hand
47	give sb a free hand
47	get out of hand
47	give sb a hand
47	give sth the thumbs down/up
47	be a dab hand
47	keep your hand in
47	to hand
47	try your hand at sth
47	turn your hand to sth
47	wash your hands of sb/sth
47	have/get your fingers burned/burnt
47	a rule of thumb
47	stand/stick out like a sore thumb
47	be under sb's thumb
48	foot the bill
48	get cold feet
48	dig your heels in
48	fall/land on your feet
48	be under your feet
48	find your feet
48	get/have itchy feet
48	have/keep both/your feet on the ground
48	stand on your own two feet
48	follow in sb's footsteps
48	get/start off on the wrong foot
48	hard/hot on the heels of sth
48	have/get itchy feet
48	keep sb on their toes
48	keep/have both/your feet on the ground
48	land/fall on your feet
48	start/get off on the wrong foot
49	twist sb's arm
49	hold/keep sb at arm's length
49	the bare bones
49	have a bone to pick with sb
49	have a chip on your shoulder
49, 51	give sb the cold shoulder
49	cost (sb) an arm and a leg
49	a shoulder to cry on
49	not have a leg to stand on
49	pull sb's leg
49	stand shoulder to shoulder
50	bite sb's head off
50	bring sth to a head
50	come to a head
50	keep your head down
50	get your head (a)round
50	keep your head
50	keep your head above water
50	knock sth on the head
50	laugh your head off
50	lose your head
50	off the top of your head
50	put ideas into sb's head
50	scream your head off
50	shout your head off
50	turn heads
51	be at each other's throat
51	put a brave face on sth
51	make a clean breast of it
51	breathe down sb's neck
51	get it off your chest
51	keep a straight face
51	make/pull a face
51	on the face of it
51	take sth at face value
51	face to face
51	Keep your hair on!
51	not turn a hair
51	pull/tear your hair out
51	be a pain in the neck
51	pull/make a face
51	ram sth down sb's throat
51	tear/pull your hair out
52	not bat an eyelid
52	couldn't believe your eyes
52	turn a blind eye
52	on the blink
52	cast/run your eye over
52	catch sb's eye
52	see sth out of the corner of your eye
52	an eye-opener
52	have/keep one eye on
52, 55	in your mind's eye
52	keep an eye on
52	keep an eye out for sb/sth
52	see eye to eye
52	raise (a few) eyebrows
52	can't keep your eyes off
52	open sb's eyes to sth
52	with your eyes open
52	keep/have one eye on
52	run/cast your eye over
53	all ears
53	couldn't believe your ears
53	bite your tongue
53	play it by ear
53	go in one ear and out the other
53	have a word in sb's ear
53	foaming at the mouth
53	get right up sb's nose
53	grit your teeth
53	live (from) hand to mouth
53	sb's heart is in their mouth
53	pay lip service to
53	My lips are sealed.
53	by word of mouth
53	mouth-watering
53	poke/stick your nose into
53	turn your nose up
53	stick/poke your nose into
53	in the teeth of sth
54	bare your heart/soul
54	sb's heart misses/skips a beat
54	break sb's heart
54	a change of heart
54	to your heart's content
54	have your heart set on sth
54	a man/woman after your own heart
54	know/learn sth off by heart
54	lose heart
54	open your heart
54	pour your heart out
54	put your heart and soul into sth
54	sb's heart is in the right place
54	sb's heart sinks
54	set your heart on sth
54	take sth to heart
54	heart-to-heart
54	learn/know sth off by heart
54	sb's heart skips/misses a beat
54	bare your soul/heart
54	a woman/man after your own heart
55	at the back of your mind
55	blood and guts
55	get blood out of a stone
55	in cold blood
55	a brain drain
55	have sth on the brain
55	pick sb's brains
55	cold-blooded
55	a gut feeling/reaction
55	slog/sweat/work your guts out
55	have a mind of its own
55	have/keep an open mind
55	keep/have an open mind
55	be a load/weight off your mind
55	make up your mind
55	put/set sb's mind at rest
55	a gut reaction/feeling
55	be a weight/load off your mind
55	work/slog/sweat your guts out
56	could do sth with one arm/hand tied behind your back
56	You scratch my back and I'll scratch yours.
56	at/in the back of beyond
56	be glad/happy/pleased/not sorry to see the back of sth
56	be on sb's back
56	be on the back burner
56	by/through the back door
56	come/fall off the back of a lorry
56	know sth like the back of your hand
56	off the back of a lorry
56	stab sb in the back
56	take a back seat
56	when/while sb's back is turned
56	without a backward glance
56	bend/lean over backwards
56	fall/come off the back of a lorry
56	could do sth with one hand/arm tied behind your back
56	lean/bend over backwards
57	a list as long as your arm
57	go back a long way
57	come a long way
57	a long face
57	go a long way
57	go to any/great lengths
57	take a long, hard look at sth
57	a long haul
57	How long is a piece of string?
57	in the long/medium/short term
57	It's a long story.
57	Long time no see.
57	long-winded
58	along the lines of sth
58	the bottom line
58	sign on the dotted line
58	draw a line under sth
58	draw the line (at sth)
58	drop sb a line
58	a fine/thin line
58	be in line for sth
58	line of work
58	be out of line
58	step out of line
58	along/on the right lines
58	along/on the same lines
58	read between the lines
58	a thin/fine line
59	clean up your act
59	act the fool
59	act your age
59	a balancing act
59	catch sb in the act
59	get in on the act
59	get your act together
59	put on an act
59	a piece/slice of the action
59	be back in action
59	be out of action
59	follow/take a course of action
59	a hive of activity
59	be all talk (and no action)
59	a slice/piece of the action
59	take/follow a course of action
60	be in a bad way
60	give sth up as a bad job
60	go from bad to worse
60	make the best of a bad job
60	be on your best behaviour
60	be for the best
60	second best
60	the best of both worlds
60	against your better judgement
60	go one better
60	think better of sth
60	stand sb in good stead
61	common ground
61	cut the ground from under sb's feet
61	on dangerous ground
61	get in on the ground floor
61	gain ground
61	get (sth) off the ground
61	give ground
61	go to ground
61	be thick/thin on the ground
61	prepare the ground
61	sb's stamping/stomping ground
61	shift your ground
61	suit sb down to the ground
61	wish the ground would swallow you up
61	be thick on the ground
61	be thin on the ground
62	avoid sth like the plague
62	be as blind as a bat
62	like a bat out of hell
62	be like a bear with a sore head
62	be as busy as a bee
62	as bold as brass
62	look like something the cat brought/dragged in
62	be like a red rag to a bull
62	as cunning/sly as a fox
62	look like something the cat dragged/brought in
62	be as slippery as an eel
62	as far as the eye can see
62	have eyes like a hawk
62	be as plain as the nose on your face
62	be as light as a feather
62	be like a fish out of water
62	be as flat as a pancake
62	be as good as gold
62	like greased lightning
62	as heavy as lead
62	have a memory like a sieve
62	be as strong as an ox
62	be as ugly as sin
62	as sly/cunning as a fox
62	as ugly as sin
